"ID_TRAIN","NB_EMPT","R_ATD","DUREE","PRT_VAL","AGE_D","REV_BT","REV_NET","TYP_RES","ST_EMPL","MNT_EPAR","NB_ER_6MS","NB_ER_12MS","NB_DEC_12MS","NB_OPER","NB_COUR","NB_INTR_1M","NB_INTR_12M","PIR_DEL","NB_DEL_30","NB_DEL_60","NB_DEL_90","MNT_PASS","MNT_ACT","MNT_AUT_REN","MNT_UTIL_REN","NB_SATI","TYP_FIN","MNT_DEMANDE","target_0"
501621,1,0.64,2,1,23,39000,25000,"L","T",97622,0,0,0,12,0,0,0,0,0,0,0,349539,461714,0,0,7,"AUTO",16700,0
989792,1,0.51,6,1,46,46000,27000,"L","P",12365,0,0,0,11,11,0,0,0,0,0,0,16313,23497,11500,7358,9,"AUTO",18200,0
495495,1,0.37,4,1,71,56000,41000,"P","P",211762,0,0,0,1,1,0,0,0,0,2,0,11764,211762,14000,2851,1,"AUTO",27200,0
241411,2,0.68,5,1,20,29000,16000,"L","P",628,0,0,1,11,10,1,1,0,0,0,0,0,1497,9000,35,3,"AUTO",11300,0
801593,1,0.1,3,1,60,133000,98000,"L","R",138523,0,0,0,7,7,0,0,0,0,0,0,39271,341574,2000,1961,6,"AUTO",10600,0
655883,1,0.36,3,1,55,62000,35000,"L","P",209668,0,0,0,7,6,0,0,0,0,0,0,1242,209668,8500,8499,7,"AUTO",28700,0
853916,1,0.07,5,1,44,105000,93000,"P","P",169694,0,0,0,10,4,0,0,0,0,0,0,9170,169694,14500,1899,8,"AUTO",24100,0
884236,1,0.31,6,1,61,54000,32000,"L","R",134776,0,0,0,5,2,0,0,0,0,0,0,308636,371003,8000,6833,5,"AUTO",7700,0
759290,2,0.66,3,1,33,98000,89000,"L","R",27090,3,3,3,9,0,0,0,0,0,0,0,10643,27090,0,0,8,"AUTO",17200,0
955014,1,0.43,5,0.98,50,68000,54000,"L","T",206779,0,0,0,7,5,0,0,0,2,2,0,4808,206779,2500,2500,4,"AUTO",28800,0
725813,1,0.52,4,1,34,36000,30000,"L","R",60769,0,0,3,13,10,1,1,0,0,0,0,4972,60769,1000,1000,3,"AUTO",21600,0
365318,1,0.29,1,1,47,140000,106000,"A","R",83426,0,0,0,8,7,0,0,0,0,0,0,14555,164648,19500,15597,6,"AUTO",14900,0
90603,1,0.39,7,1,23,16000,11000,"L","T",4206,0,0,0,5,5,0,0,0,0,0,0,100,4206,5000,5000,4,"AUTO",37700,0
239441,2,0.24,4,0.95,20,72000,63000,"L","T",6660,0,0,3,12,8,0,0,0,4,0,5,11055,6660,9000,6437,12,"AUTO",35400,0
402696,1,0.39,4,0.87,53,8000,4000,"L","R",45875,0,0,0,6,5,0,0,0,0,0,0,23440,259852,3000,57,5,"AUTO",39900,0
654336,1,0.33,5,0.61,38,5000,3000,"L","R",133000,0,0,0,2,2,0,0,0,0,0,0,211390,238515,1500,0,2,"AUTO",8500,0
440518,1,0.32,4,0.84,26,25000,17000,"L","R",1896,0,0,0,7,5,0,0,1,0,0,0,21206,1896,10500,2068,6,"AUTO",11900,0
798340,1,0.6,3,1,19,54000,32000,"L","R",68613,1,1,0,5,3,0,0,0,0,0,0,10538,68613,80500,48913,5,"AUTO",34000,0
75298,1,0.17,5,0.95,50,44000,31000,"P","R",2697,0,0,2,6,4,0,0,0,0,0,0,21695,2697,3000,1469,4,"AUTO",8300,0
430577,1,0.35,7,0.71,21,49000,33000,"A","P",3110,0,0,0,9,8,0,0,0,0,0,1,146107,197172,3000,103,9,"AUTO",17300,1
113204,1,0.3,7,1,44,68000,46000,"L","R",2860,0,0,0,4,4,0,0,0,0,0,0,119012,304838,3000,318,4,"AUTO",23300,0
383411,1,0.2,6,1,41,77000,44000,"P","R",26709,0,0,0,8,2,0,0,0,0,0,0,1700,51762,3000,2999,7,"AUTO",33800,0
102126,1,0.41,5,1,27,5000,4000,"L","R",2718,0,0,0,11,9,0,0,0,0,0,0,335461,338182,13500,13500,11,"AUTO",19800,0
556371,1,0.15,1,0.96,34,56000,44000,"L","R",198267,0,0,0,10,8,0,0,0,0,0,0,49165,198267,4000,2222,8,"AUTO",39900,0
398902,1,0.26,2,1,23,43000,30000,"L","R",127562,0,4,1,13,7,0,0,0,0,0,0,13649,127562,1000,0,10,"AUTO",9800,0
230281,1,0.21,2,1,55,63000,37000,"L","R",2089,1,1,0,5,3,0,0,0,0,0,0,285,2089,12000,10990,5,"AUTO",5600,0
151322,1,0.37,4,1,47,63000,49000,"A","R",32962,0,0,0,10,7,0,0,0,0,0,0,113831,137656,8000,0,9,"AUTO",37700,0
123378,1,0.29,3,1,29,105000,84000,"A","T",188694,0,0,0,8,0,0,0,0,0,0,0,14921,188694,0,0,6,"AUTO",35400,0
587038,1,0.68,7,1,37,124000,110000,"L","R",204157,0,0,0,2,0,0,0,0,0,0,0,4384,204157,0,0,2,"AUTO",34300,0
625196,2,0.51,4,1,18,15000,9000,"A","P",431,0,0,0,12,11,0,0,0,0,0,0,3746,431,2000,1201,7,"AUTO",24100,0
73722,1,0.4,2,1,53,53000,43000,"L","R",150800,0,0,0,8,7,0,0,0,0,0,0,12595,401272,43000,4504,7,"AUTO",37100,0
917783,1,0.27,5,0.97,39,13000,7000,"L","T",1010,4,7,0,10,9,1,1,0,0,0,0,163360,191199,11500,1773,10,"AUTO",5700,0
566620,1,0.41,7,1,21,58000,39000,"L","T",38119,0,1,0,13,6,0,0,0,0,0,1,64917,766946,1000,662,11,"AUTO",7300,0
16047,1,0,1,0.59,26,38000,29000,"L","P",28578,0,3,2,9,9,1,1,0,0,2,0,182,28578,2500,347,7,"AUTO",26700,0
430476,2,0.37,4,1,34,64000,47000,"P","T",3279,0,0,0,4,4,0,0,0,0,0,0,542,3279,3000,1586,2,"AUTO",38200,0
990993,1,0.5,4,1,29,14000,9000,"L","T",1641,0,0,0,6,6,0,0,0,0,0,0,23108,1641,9000,9000,5,"AUTO",33600,0
124314,2,0.31,3,0.6,46,49000,27000,"L","T",95454,3,3,0,7,5,0,0,0,0,0,0,319454,321981,4000,4000,6,"AUTO",24700,1
186481,1,0.67,5,0.99,31,14000,12000,"L","R",13694,0,0,1,8,1,0,0,0,0,0,1,10878,13694,2000,1376,6,"AUTO",16100,0
879959,2,0.15,7,1,32,68000,58000,"P","P",164397,0,0,0,7,6,0,0,0,0,0,0,18537,164397,17000,308,5,"AUTO",35900,0
349486,1,0.29,2,1,35,141000,121000,"L","R",204306,0,0,0,9,9,0,0,0,0,0,0,174789,277392,15500,858,8,"AUTO",32000,0
716983,1,0.25,3,1,72,132000,99000,"L","P",119875,0,0,0,4,3,0,0,0,0,0,0,39343,377614,3000,369,4,"AUTO",23300,0
390723,1,0.74,2,1,48,86000,50000,"L","R",98075,0,0,0,5,2,0,0,0,0,0,0,4581,98075,500,499,5,"AUTO",15400,0
435013,1,0.21,3,1,26,67000,40000,"P","R",104291,0,0,0,13,7,0,0,0,0,0,0,20536,104291,11000,2317,9,"AUTO",8000,0
535063,1,0.12,6,1,24,138000,86000,"P","R",29227,0,0,0,12,6,0,0,0,0,0,0,3959,181558,10000,1466,11,"AUTO",17900,0
845621,1,0.05,4,0.94,61,166000,100000,"P","R",199619,0,0,0,11,9,0,0,0,0,0,5,1508,199619,30500,30500,0,"AUTO",28400,0
46722,1,0.42,2,1,49,58000,38000,"P","R",123551,0,0,0,6,2,0,0,0,0,0,0,335824,539010,3500,3500,6,"AUTO",24500,0
310463,2,0.41,3,1,49,49000,30000,"L","T",206,0,0,0,6,6,0,0,0,0,0,0,11976,28923,43000,16385,5,"AUTO",21600,0
640267,1,0.43,2,1,26,42000,36000,"L","P",1936,1,1,0,1,1,0,0,0,0,0,0,2978,1936,1000,916,1,"AUTO",5100,0
922275,1,0,3,0.9,46,52000,35000,"P","R",19368,3,3,0,9,8,0,0,0,0,0,0,284142,289340,1500,1499,7,"AUTO",5600,0
610688,1,0.08,1,0.98,47,60000,54000,"P","P",80,0,0,0,4,2,0,0,0,0,0,0,276745,329474,3000,0,4,"AUTO",19900,0
742902,2,0.38,1,1,27,71000,51000,"L","P",6893,0,0,0,10,8,0,0,0,0,0,0,18395,6893,14000,8382,8,"AUTO",6900,0
240863,1,0.56,5,1,29,37000,25000,"L","P",113904,0,0,1,3,1,0,0,0,0,0,0,4101,113904,29000,29000,3,"AUTO",8300,0
467098,1,0.39,5,0.59,26,9000,6000,"L","R",95777,0,0,0,4,4,0,0,0,0,0,0,2761,95777,5500,0,3,"AUTO",30500,0
66698,1,0.51,6,1,40,33000,30000,"A","P",75420,0,0,0,6,2,1,1,0,0,0,0,2467,75420,11000,1243,5,"AUTO",7200,0
903318,1,0.49,5,0.78,40,15000,8000,"L","R",1412,0,0,0,2,0,0,0,0,0,0,0,16166,1412,0,0,2,"AUTO",15900,0
237719,2,0.41,5,0.7,19,38000,27000,"A","T",59899,0,2,0,9,7,0,0,0,0,0,0,12214,59899,18000,17999,7,"AUTO",30800,0
632148,2,0.35,3,1,47,43000,34000,"A","R",48684,0,0,0,9,8,0,0,0,0,0,0,344472,374468,1000,514,9,"AUTO",26000,0
3817,2,0.41,6,1,21,53000,39000,"A","P",5004,0,3,0,10,10,0,0,0,0,0,0,63444,239842,13500,2808,3,"AUTO",18900,0
734402,1,0.92,5,1,29,92000,63000,"A","R",726,1,1,0,8,7,0,0,0,0,0,0,1903,726,5000,954,7,"AUTO",9800,0
30205,1,0.35,4,1,28,44000,32000,"L","P",17712,0,0,0,8,0,0,0,0,0,0,0,18061,17712,0,0,7,"AUTO",13800,0
368875,1,0.33,6,1,65,46000,38000,"P","R",48950,0,0,0,7,5,0,0,0,0,0,0,18103,48950,3500,3007,7,"AUTO",37300,0
905892,1,0.29,5,1,50,65000,37000,"L","R",53526,0,0,0,4,1,0,0,0,0,0,1,46136,315070,15500,15276,3,"AUTO",12400,0
328177,1,0.1,4,0.58,27,162000,124000,"P","P",124686,1,2,0,6,1,0,0,0,0,0,0,88974,124686,1000,999,6,"AUTO",23800,0
213384,1,0.34,7,0.74,28,74000,56000,"P","R",62733,0,0,0,6,5,0,0,0,0,0,0,2748,62733,500,340,6,"AUTO",15200,0
